epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.30573,0.72249,2.21518,1.18964,0.96471,0.15194,0.67543,0.46159,0.72537,2.74404,1.25287,0.00032,0.00032,0.00032
2,15.3438,0.83096,1.41397,1.21973,0.8497,0.55,0.73736,0.48485,0.85823,2.46765,1.40518,0.000658911,0.000658911,0.000658911
3,21.4142,0.80772,1.28137,1.20458,0.81909,0.57853,0.66826,0.46775,0.93563,2.41043,1.50897,0.0009967,0.0009967,0.0009967
4,27.2646,0.78492,1.17946,1.17124,0.86913,0.70556,0.80026,0.55559,0.96505,1.92043,1.55247,0.00133337,0.00133337,0.00133337
5,33.2529,0.84827,1.13198,1.21257,0.57105,0.64444,0.60238,0.38274,1.1315,1.99208,1.69798,0.00166891,0.00166891,0.00166891
6,39.1649,0.85732,1.10207,1.20893,0.60652,0.56518,0.61239,0.41259,1.23638,2.43278,1.77882,0.0019835,0.0019835,0.0019835
7,44.9661,0.8762,1.03301,1.21576,0.56536,0.43889,0.48868,0.20044,1.78484,2.77001,2.5853,0.0019802,0.0019802,0.0019802
8,50.8583,0.86983,0.93327,1.20227,0.75719,0.57172,0.63231,0.33067,1.42176,1.69466,1.88191,0.0019769,0.0019769,0.0019769
9,56.6828,0.82466,1.14234,1.21066,0.79011,0.62742,0.73122,0.38314,1.45488,2.6288,1.96152,0.0019736,0.0019736,0.0019736
10,62.7127,0.82233,0.90017,1.1748,0.80649,0.6483,0.79707,0.57909,1.00227,2.82721,1.40666,0.0019703,0.0019703,0.0019703
11,68.7564,0.8542,0.92094,1.19604,0.91954,0.77222,0.8894,0.70385,0.74512,1.58108,1.23679,0.001967,0.001967,0.001967
12,74.8706,0.80419,0.79547,1.15483,0.87574,0.8,0.87413,0.69578,0.75008,0.98539,1.18892,0.0019637,0.0019637,0.0019637
13,80.7526,0.75026,0.78596,1.13343,0.88924,0.8475,0.90091,0.72631,0.74094,0.99184,1.21769,0.0019604,0.0019604,0.0019604
14,86.6591,0.79587,0.77436,1.16056,0.89416,0.74444,0.80801,0.61106,0.85116,0.99951,1.32973,0.0019571,0.0019571,0.0019571
15,92.3989,0.77604,0.74151,1.16427,0.88955,0.76062,0.83613,0.58164,0.88804,1.11853,1.34382,0.0019538,0.0019538,0.0019538
